"","Gender","LateForSchool","PossessionsOwnRoom","ParentsBelieveStudyingMathematicsIsImportant","WorryThatMathsWillBeDifficult","StudyMathsMoreThan2ExtraHoursADay","FamiliarityWithMathsConceptsLinearEquation","MathsTeachingTeacherHelps","ThinksTeachersTreatStudentsFair","MakeFriendsEasily","ThinksSchoolIsWasteOfTime","CouldPerformWellIfIWanted","MathScore","ReadScore","ScienceScore"
"381699","Male","None  ","Yes",NA,"Strongly disagree",NA,"Heard of it once or twice","Every Lesson","Disagree","Agree","Disagree","Agree",645.9807,557.3336,570.1604
"381700","Female","One or two times  ","Yes","Agree","Agree","Never or rarely",NA,"Most Lessons","Disagree",NA,"Disagree","Disagree",446.4948,515.6701,496.7736
"381701","Male","None  ","Yes",NA,"Strongly agree",NA,"Never heard of it","Most Lessons","Disagree","Strongly agree","Strongly agree","Agree",445.0148,432.4707,502.3685
"381702","Male","Five or more times  ","Yes",NA,"Strongly agree",NA,"Never heard of it","Never or Hardly Ever","Disagree","Agree","Strongly agree","Agree",557.6492,527.5814,550.8579
"381703","Male","None  ","Yes","Strongly agree","Agree","Sometimes",NA,"Most Lessons","Agree","Agree","Disagree","Agree",552.7419,525.1756,536.9638
"381704","Male","None  ","Yes","Agree","Agree","Sometimes",NA,"Some Lessons","Strongly disagree","Agree","Disagree","Agree",538.9547,466.6336,566.7102
"381705","Male","None  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,572.6827,501.9192,523.536
"381706","Female","None  ","No",NA,"Agree",NA,"Heard of it a few times","Some Lessons","Disagree","Strongly agree","Disagree","Disagree",487.8564,555.3856,537.1503
"381707","Male","None  ","No","Agree","Agree","Sometimes",NA,"Never or Hardly Ever","Agree","Agree","Disagree","Agree",440.4191,457.6518,471.7829
"381708","Female","None  ","Yes","Disagree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,463.0083,593.2742,507.2175
"381709","Female","None  ","Yes","Strongly agree","Agree","Often",NA,"Every Lesson","Disagree","Agree","Disagree","Disagree",596.1287,581.5978,548.7132
"381710","Male","None  ","Yes",NA,"Agree",NA,"Never heard of it","Some Lessons","Disagree","Disagree","Agree","Agree",481.7028,467.2751,469.9179
"381711","Male","None  ","Yes","Strongly agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,554.7671,542.8986,571.3726
"381712","Male","None  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,646.1365,615.3142,648.7691
"381713","Female","One or two times  ","Yes",NA,"Disagree",NA,"Know it well,  understand the concept","Every Lesson","Agree","Agree","Strongly disagree","Strongly agree",640.9176,642.7597,643.5472
"381714","Female","Three or four times  ","No",NA,"Strongly disagree",NA,"Know it well,  understand the concept","Most Lessons","Agree","Strongly agree","Disagree","Strongly agree",670.3614,630.7656,640.47
"381715","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,381.9209,420.3529,436.4416
"381716","Male","None  ","Yes",NA,"Strongly agree",NA,"Heard of it a few times","Every Lesson","Agree","Agree","Disagree","Agree",414.6362,430.8668,459.4741
"381717","Female","None  ","Yes","Agree","Strongly agree","Never or rarely",NA,"Every Lesson","Agree","Agree","Strongly agree","Agree",476.406,432.1881,456.7699
"381718","Female","One or two times  ","No","Agree","Agree","Never or rarely",NA,"Most Lessons","Disagree","Agree","Disagree","Strongly agree",423.2824,555.2267,505.0727
"381719","Male","None  ","Yes",NA,"Strongly disagree",NA,"Heard of it often","Most Lessons","Agree","Agree","Disagree","Agree",457.4778,416.9932,437.3741
"381720","Female","None  ","Yes",NA,"Strongly agree",NA,NA,NA,"Strongly agree","Strongly agree",NA,NA,240.8553,312.3267,282.3014
"381721","Male","None  ","No",NA,"Strongly disagree",NA,"Heard of it once or twice","Never or Hardly Ever","Agree","Disagree","Disagree","Strongly agree",550.8724,541.2145,612.1223
"381722","Male","None  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,621.9115,552.2813,554.7743
"381723","Female","None  ","Yes","Agree","Agree","Sometimes",NA,"Most Lessons","Disagree","Strongly agree","Disagree","Strongly agree",400.4596,470.6327,436.1619
"381724","Male","None  ","Yes",NA,"Agree",NA,"Heard of it a few times","Every Lesson","Agree","Strongly agree","Agree","Strongly agree",326.85,308.6504,316.8967
"381725","Male","None  ","Yes","Agree","Agree","Always or almost always",NA,"Some Lessons","Strongly agree",NA,"Agree","Agree",390.9565,409.6955,438.0269
"381726","Female","None  ","No","Strongly agree","Agree","Sometimes",NA,"Some Lessons","Strongly disagree","Strongly agree","Disagree","Agree",530.6979,529.1733,509.1757
"381727","Male","One or two times  ","No",NA,"Agree",NA,"Heard of it a few times","Most Lessons","Disagree","Agree","Agree","Agree",460.6714,497.8292,482.693
"381728","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,508.1087,550.858,479.0563
"381729","Female","None  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,424.6066,473.8099,453.8791
"381730","Female","None  ","Yes","Agree",NA,"Sometimes","Know it well,  understand the concept",NA,NA,NA,NA,NA,636.0882,567.2208,622.7527
"381731","Female","One or two times  ","Yes","Agree","Agree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Agree",526.1022,590.8912,565.0317
"381732","Male","None  ","Yes",NA,"Strongly disagree",NA,"Heard of it once or twice","Most Lessons","Strongly agree","Agree","Agree","Agree",469.5513,527.6616,476.6319
"381733","Female","None  ","Yes","Agree","Disagree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Strongly agree",543.3946,583.107,569.6009
"381734","Female","One or two times  ","Yes",NA,"Strongly disagree",NA,"Heard of it often","Most Lessons","Disagree","Agree","Disagree","Strongly agree",681.8897,706.8605,666.6729
"381735","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,413.0005,484.692,485.3972
"381736","Male","None  ","Yes","Agree",NA,"Sometimes","Heard of it once or twice",NA,NA,NA,NA,NA,492.2184,401.676,457.6091
"381737","Female","None  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Some Lessons","Agree","Strongly agree","Disagree","Strongly agree",566.3733,515.9084,534.0731
"381738","Male","Three or four times  ","Yes",NA,"Agree",NA,"Know it well,  understand the concept","Most Lessons","Strongly agree","Strongly agree","Strongly agree","Strongly agree",504.993,482.7527,558.038
"381739","Female","None  ","Yes","Agree","Agree","Never or rarely",NA,"Every Lesson","Agree","Strongly agree","Strongly disagree","Strongly agree",480.067,460.0684,453.2264
"381740","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,572.8384,660.0757,581.5367
"381741","Male","None  ","Yes","Strongly agree","Agree","Sometimes",NA,"Most Lessons","Agree","Strongly agree","Disagree","Strongly agree",566.5291,591.2559,602.1447
