"","Gender","LateForSchool","PossessionsOwnRoom","ParentsBelieveStudyingMathematicsIsImportant","WorryThatMathsWillBeDifficult","StudyMathsMoreThan2ExtraHoursADay","FamiliarityWithMathsConceptsLinearEquation","MathsTeachingTeacherHelps","ThinksTeachersTreatStudentsFair","MakeFriendsEasily","ThinksSchoolIsWasteOfTime","CouldPerformWellIfIWanted","MathScore","ReadScore","ScienceScore"
"380133","Male","None  ","Yes","Agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,467.5261,476.3371,518.0343
"380134","Male","Three or four times  ","Yes",NA,"Disagree",NA,"Never heard of it","Every Lesson","Strongly disagree","Agree","Disagree","Agree",665.8436,644.7456,621.1675
"380135","Female","Five or more times  ","Yes","Disagree",NA,"Sometimes","Never heard of it",NA,NA,NA,NA,NA,346.9466,464.6754,418.3514
"380136","Female","None  ","No","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,374.8325,390.0896,393.9202
"380137","Female","Five or more times  ","Yes","Agree","Disagree","Never or rarely",NA,"Every Lesson","Agree","Agree","Strongly disagree","Strongly agree",641.5407,578.3411,552.8161
"380138","Female","None  ","Yes","Disagree",NA,"Sometimes","Know it well,  understand the concept",NA,NA,NA,NA,NA,673.2435,728.7835,736.423
"380139","Male","One or two times  ","Yes",NA,"Agree",NA,"Heard of it a few times","Some Lessons","Agree","Agree","Disagree","Agree",407.6258,384.1134,444.834
"380140","Female","None  ","Yes",NA,"Strongly agree",NA,NA,"Some Lessons","Agree","Agree","Disagree","Disagree",494.9447,594.0685,580.884
"380141","Male","One or two times  ","No","Agree","Strongly agree","Always or almost always",NA,"Never or Hardly Ever","Strongly disagree","Agree","Agree","Agree",419.1541,388.3637,370.8877
"380142","Female","Five or more times  ","No","Disagree","Strongly agree","Always or almost always",NA,"Most Lessons","Disagree","Agree","Strongly disagree","Strongly agree",436.9138,569.6037,490.2462
"380143","Female","Three or four times  ","Yes","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,379.5062,443.3879,398.8624
"380144","Female","One or two times  ","Yes",NA,"Strongly agree",NA,"Heard of it a few times","Never or Hardly Ever","Agree","Agree","Strongly agree","Agree",391.5018,425.0393,387.7658
"380145","Male","None  ","Yes","Agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,572.6827,539.6106,615.8523
"380146","Male","One or two times  ","No","Strongly disagree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,498.372,477.941,485.0242
"380147","Female","One or two times  ","Yes","Agree","Agree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Agree",486.9995,558.4834,498.3588
"380148","Female","None  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,505.8498,555.9416,543.5845
"380149","Female","None  ","Yes","Agree","Disagree","Never or rarely",NA,"Some Lessons","Disagree","Agree","Disagree","Agree",473.7576,534.7335,460.2201
"380150","Male","One or two times  ","Yes","Strongly agree","Disagree","Sometimes",NA,"Most Lessons","Agree","Strongly agree","Disagree","Strongly agree",445.7937,449.8729,452.6669
"380151","Female","Three or four times  ","Yes",NA,"Strongly agree",NA,"Heard of it a few times","Some Lessons","Agree","Agree","Agree","Disagree",396.7207,551.414,479.3361
"380152","Female","Five or more times  ","Yes",NA,"Strongly agree",NA,"Know it well,  understand the concept","Every Lesson","Strongly agree","Strongly agree","Strongly disagree","Agree",425.4635,558.5628,494.9086
"380153","Female","One or two times  ","Yes","Agree","Strongly disagree","Never or rarely",NA,"Some Lessons","Agree","Agree","Strongly disagree","Strongly agree",665.532,712.5001,680.3805
"380154","Male","None  ","Yes","Strongly agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,620.2757,607.8561,622.0067
"380155","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,738.7521,715.6774,679.448
"380156","Female","One or two times  ","No",NA,"Agree",NA,"Never heard of it","Some Lessons","Disagree","Agree","Strongly disagree","Agree",560.2197,622.9019,523.8157
"380157","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,572.2153,582.3127,495.9344
"380158","Male","None  ","Yes",NA,"Disagree",NA,"Know it well,  understand the concept","Most Lessons","Agree","Strongly agree","Disagree","Agree",609.2927,659.9024,640.097
"380159","Female","None  ","Yes",NA,"Agree",NA,"Never heard of it","Some Lessons","Disagree","Agree","Strongly disagree","Agree",623.3915,607.81,591.6076
"380160","Female","One or two times  ","Yes","Strongly agree","Agree","Never or rarely",NA,"Every Lesson","Agree","Agree","Strongly disagree","Strongly agree",607.8127,604.8711,578.8325
"380161","Female","Three or four times  ","Yes","Agree","Disagree","Never or rarely",NA,"Every Lesson","Agree","Disagree","Disagree","Agree",612.5643,654.4361,574.3566
"380162","Female","One or two times  ","Yes","Strongly agree","Agree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Agree",578.2131,588.1906,580.6975
"380163","Female","One or two times  ","Yes","Disagree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,464.5661,497.957,446.6057
"380164","Male","Five or more times  ","Yes","Strongly agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,639.0481,597.1902,561.3018
"380165","Female","None  ","Yes","Disagree","Agree","Sometimes",NA,"Some Lessons","Agree","Agree","Disagree","Strongly agree",475.8607,548.1574,457.6091
"380166","Female","None  ","Yes","Agree",NA,"Sometimes","Never heard of it",NA,NA,NA,NA,NA,482.7933,526.7904,441.1973
"380167","Female","One or two times  ","Yes",NA,"Agree",NA,"Heard of it a few times","Most Lessons","Agree","Disagree","Strongly disagree","Agree",615.68,635.452,574.0768
"380168","Male","One or two times  ","Yes","Strongly agree","Disagree","Sometimes",NA,"Most Lessons","Agree","Agree","Disagree","Agree",674.7235,586.2036,552.7229
"380169","Male","One or two times  ","Yes",NA,"Strongly agree",NA,"Never heard of it","Most Lessons","Disagree","Strongly agree","Agree","Agree",618.64,610.1818,571.0929
"380170","Male","None  ","Yes","Strongly agree",NA,"Always or almost always","Know it well,  understand the concept",NA,NA,NA,NA,NA,721.4597,663.9923,599.1608
"380171","Female","None  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Most Lessons","Agree","Agree","Strongly disagree","Agree",698.8705,695.1842,669.0974
"380172","Female","Three or four times  ","Yes",NA,"Agree",NA,"Heard of it a few times","Every Lesson","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree",615.6021,580.8035,567.9224
"380173","Male","One or two times  ","Yes","Strongly agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,590.5203,597.6714,574.1701
"380174","Male","None  ","Yes",NA,"Disagree",NA,"Never heard of it","Never or Hardly Ever","Strongly disagree","Disagree","Agree","Strongly agree",635.0756,571.7686,641.0295
"380175","Female","None  ","No","Strongly agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,544.3293,576.0376,546.5684
"380176","Female","One or two times  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,471.4987,454.5082,455.4644
"380177","Female","None  ","Yes","Agree","Agree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Agree",626.3515,588.1906,581.63
"380178","Female","None  ","Yes","Strongly agree","Disagree","Always or almost always",NA,"Most Lessons","Strongly agree","Agree","Strongly disagree","Strongly agree",643.0207,610.4313,560.1828
"380179","Male","None  ","Yes","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,478.7428,513.1464,523.909
"380180","Female","None  ","Yes",NA,"Disagree",NA,"Heard of it once or twice","Every Lesson","Agree","Agree","Disagree","Agree",574.1626,544.5035,549.9254
"380181","Male","Three or four times  ","No","Agree","Disagree","Never or rarely",NA,"Most Lessons","Agree","Strongly agree","Strongly disagree","Agree",600.8023,660.7845,624.8042
"380182","Female","None  ","Yes",NA,"Disagree",NA,"Heard of it once or twice","Some Lessons","Strongly agree","Agree","Strongly disagree","Agree",631.1809,623.9345,594.6848
"380183","Male","None  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Every Lesson","Strongly agree","Agree","Disagree","Agree",660.7026,643.1417,659.0265
"380184","Female","Three or four times  ","Yes","Agree","Agree","Never or rarely",NA,"Most Lessons","Agree","Strongly agree","Strongly disagree","Agree",621.8336,695.1842,647.1839
"380185","Female","None  ","Yes","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,528.0495,565.6322,542.4655
"380186","Female","One or two times  ","No","Strongly agree","Strongly disagree","Sometimes",NA,"Every Lesson","Disagree","Strongly disagree","Strongly disagree","Agree",681.2666,590.2558,495.9344
"380187","Female","One or two times  ","Yes",NA,"Disagree",NA,"Heard of it often","Some Lessons","Agree","Disagree","Disagree","Strongly agree",667.9467,710.5143,573.2376
"380188","Female","One or two times  ","Yes","Agree","Agree","Sometimes",NA,"Every Lesson","Agree","Strongly agree","Disagree","Agree",621.4442,566.5059,504.6065
"380189","Male","None  ","No","Strongly agree","Disagree","Sometimes",NA,"Most Lessons","Strongly agree","Strongly agree","Strongly disagree","Agree",614.9011,570.0043,555.4271
"380190","Male","None  ","Yes","Agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,424.6845,493.9799,461.3391
"380191","Female","None  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Some Lessons","Disagree","Agree","Disagree","Agree",469.5513,555.3856,456.1171
"380192","Female","None  ","Yes",NA,"Agree",NA,"Heard of it a few times","Most Lessons","Disagree","Agree","Disagree","Agree",481.0796,595.816,505.2592
"380193","Female","None  ","Yes","Strongly agree",NA,"Sometimes","Heard of it once or twice",NA,NA,NA,NA,NA,531.4769,610.193,572.5849
"380194","Male","None  ","No","Agree","Disagree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Agree",574.3184,590.2133,558.038
"380195","Female","None  ","No","Agree","Disagree","Never or rarely",NA,"Most Lessons","Agree","Agree","Strongly disagree","Agree",641.2292,670.4811,609.3249
"380196","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,564.9712,606.2214,566.4304
"380197","Male","None  ","No","Agree","Agree","Sometimes",NA,"Every Lesson","Disagree","Strongly agree","Disagree","Agree",422.114,416.111,421.2421
"380198","Female","None  ","No",NA,"Agree",NA,"Heard of it once or twice","Most Lessons","Agree","Agree","Disagree","Strongly agree",423.3603,422.9741,452.9467
"380199","Female","None  ","No","Strongly agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,430.4487,449.6629,433.4577
"380200","Male","None  ","Yes","Agree","Agree","Sometimes",NA,"Most Lessons","Disagree","Agree","Disagree","Disagree",479.2881,408.1718,462.5513
"380201","Male","None  ","No",NA,"Strongly agree",NA,"Heard of it once or twice","Some Lessons","Agree","Agree","Strongly disagree","Agree",354.5802,339.9263,389.2577
"380202","Male","None  ","No","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,526.8032,495.0224,587.2249
"380203","Male","None  ","No","Strongly agree",NA,"Sometimes","Never heard of it",NA,NA,NA,NA,NA,454.2842,416.913,415.3674
"380204","Female","One or two times  ","No",NA,"Strongly agree",NA,"Know it well,  understand the concept","Most Lessons","Agree","Agree","Disagree","Agree",421.6467,436.4774,467.8665
"380205","Male","None  ","No","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,387.7629,324.7695,413.2227
"380206","Male","None  ","Yes","Strongly agree",NA,"Sometimes","Never heard of it",NA,NA,NA,NA,NA,454.2842,449.8729,512.6259
"380207","Female","One or two times  ","Yes","Agree","Strongly agree","Never or rarely",NA,"Some Lessons","Disagree","Agree","Disagree","Strongly agree",406.0679,418.2082,399.7949
"380208","Female","One or two times  ","Yes","Agree","Disagree","Often",NA,"Most Lessons","Strongly agree","Agree","Disagree","Strongly agree",442.6001,448.948,473.2749
"380209","Male","None  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,466.124,409.6153,448.191
"380210","Male","None  ","Yes",NA,"Disagree",NA,"Heard of it a few times","Every Lesson","Agree","Agree","Disagree","Agree",559.1291,475.5352,515.7963
"380211","Female","None  ","Yes",NA,"Agree",NA,"Heard of it often","Every Lesson","Agree","Agree","Disagree","Agree",541.8367,526.711,511.7866
"380212","Female","None  ","Yes","Strongly agree","Strongly agree",NA,NA,"Every Lesson","Disagree","Agree","Disagree","Strongly agree",357.8517,409.0737,354.0097
"380213","Female","None  ","Yes","Disagree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,308.8565,389.6131,414.7147
"380214","Male","None  ","Yes",NA,NA,NA,"Heard of it once or twice","Most Lessons","Strongly disagree","Disagree",NA,"Agree",366.2642,355.2434,397.9299
"380215","Female","None  ","Yes","Disagree",NA,"Sometimes","Never heard of it",NA,NA,NA,NA,NA,495.49,549.2694,530.3432
"380216","Female","None  ","No",NA,"Agree",NA,"Heard of it often","Most Lessons","Agree","Disagree","Disagree","Disagree",372.5736,363.1625,344.1253
"380217","Male","None  ","Yes",NA,"Disagree",NA,"Heard of it often","Most Lessons","Agree","Agree","Disagree","Agree",529.6074,459.4161,503.301
"380218","Female","None  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,519.8707,484.4537,480.1753
"380219","Female","None  ","Yes","Agree","Agree","Never or rarely",NA,"Every Lesson","Disagree","Agree","Agree","Agree",485.909,514.8758,474.7669
"380220","Female","None  ","Yes",NA,"Agree",NA,"Never heard of it","Most Lessons","Agree","Agree","Strongly agree","Strongly agree",469.785,489.6961,471.5964
"380221","Male","None  ","Yes","Disagree","Agree","Never or rarely",NA,"Most Lessons","Disagree",NA,"Disagree","Disagree",366.9653,312.9809,400.7273
"380222","Male","None  ","Yes","Agree","Agree","Sometimes",NA,"Some Lessons","Agree","Agree","Strongly agree","Disagree",383.7124,322.2835,386.8333
"380223","Female","None  ","No","Agree",NA,"Never or rarely","Heard of it once or twice",NA,NA,NA,NA,NA,488.5574,483.1034,478.8698
"380224","Female","One or two times  ","Yes",NA,"Agree",NA,"Never heard of it","Most Lessons","Agree","Agree","Disagree","Agree",458.3346,492.3968,439.1458
"380225","Female","None  ","Yes","Disagree","Agree","Often",NA,"Most Lessons","Agree","Disagree","Strongly agree","Agree",362.5253,332.7405,360.8169
"380226","Male","One or two times  ","Yes",NA,"Disagree",NA,"Heard of it once or twice","Some Lessons","Strongly agree","Agree","Strongly disagree","Agree",540.8241,650.3592,649.9814
"380227","Female","None  ","Yes","Agree","Agree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Agree",649.5638,700.6649,687.0011
"380228","Male","None  ","Yes",NA,"Agree",NA,"Heard of it a few times","Every Lesson","Agree","Disagree","Disagree","Agree",661.2479,688.7724,710.3133
"380229","Female","None  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Most Lessons","Agree","Disagree","Strongly agree","Agree",567.4638,629.4947,611.4696
"380230","Female","Three or four times  ","No","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,668.5699,686.4467,690.0783
"380231","Female","None  ","Yes","Agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,591.4551,601.4556,585.0802
"380232","Female","None  ","Yes","Strongly agree","Strongly disagree","Sometimes",NA,"Every Lesson","Strongly agree","Agree","Strongly disagree","Strongly agree",708.9967,730.1338,757.6837
"380233","Female","None  ","Yes","Strongly agree","Strongly disagree","Sometimes",NA,"Every Lesson","Agree","Strongly agree","Strongly disagree","Agree",661.0142,666.5096,617.1578
"380234","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,531.6327,587.3963,562.0477
"380235","Male","One or two times  ","Yes","Disagree","Disagree","Never or rarely",NA,"Most Lessons","Agree","Agree","Disagree","Strongly agree",697.78,742.5829,725.6061
"380236","Female","One or two times  ","Yes",NA,"Disagree",NA,"Know it well,  understand the concept","Most Lessons","Disagree","Agree","Disagree","Agree",615.6021,677.1533,621.727
"380237","Female","None  ","Yes",NA,"Agree",NA,"Know it well,  understand the concept","Every Lesson","Agree","Strongly agree","Strongly disagree","Agree",595.2718,653.88,619.862
"380238","Female","One or two times  ","Yes","Disagree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,612.4085,709.4817,717.5867
"380239","Male","None  ","Yes","Strongly agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,766.6381,740.8988,745.4681
"380240","Male","None  ","Yes","Disagree","Disagree","Sometimes",NA,"Every Lesson","Agree","Agree","Strongly disagree","Agree",672.5425,660.5439,700.2424
"380241","Female","None  ","Yes","Agree",NA,"Sometimes","Heard of it once or twice",NA,NA,NA,NA,NA,493.3868,559.9926,549.8322
"380242","Female","None  ","Yes","Agree","Disagree","Never or rarely",NA,"Most Lessons","Agree","Strongly agree","Disagree","Agree",694.1969,710.1966,703.5062
"380243","Female","One or two times  ","Yes",NA,"Strongly agree",NA,"Heard of it a few times","Most Lessons","Strongly agree","Agree","Agree",NA,315.5554,267.2893,368.0903
"380244","Male","None  ","Yes",NA,"Strongly disagree",NA,"Heard of it once or twice","Never or Hardly Ever","Strongly disagree","Agree","Strongly agree","Strongly agree",362.9148,322.2835,433.3644
"380245","Male","Three or four times  ","No","Agree","Disagree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Disagree",549.6261,469.0394,531.3689
"380246","Male","One or two times  ","Yes","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,409.1837,283.0683,424.6923
"380247","Male","None  ","Yes",NA,"Strongly agree",NA,"Heard of it once or twice","Some Lessons","Disagree","Agree","Agree","Disagree",371.0157,240.0039,410.0522
"380248","Male","Three or four times  ","Yes","Agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,461.5283,375.5326,396.9974
"380249","Male","One or two times  ","No","Agree","Agree","Never or rarely",NA,"Every Lesson","Agree","Agree","Agree","Strongly agree",357.3843,279.0586,319.9739
"380250","Male","Five or more times  ","Yes","Agree","Disagree","Never or rarely",NA,"Every Lesson","Agree","Agree","Agree","Agree",373.2747,246.9808,328.7393
"380251","Female","One or two times  ","Yes",NA,"Agree",NA,"Never heard of it","Every Lesson","Disagree","Agree","Disagree","Agree",514.2623,480.7204,493.0436
"380252","Female","One or two times  ","Yes","Agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,441.899,501.3725,504.5132
"380253","Male","One or two times  ","Yes",NA,"Strongly disagree",NA,"Never heard of it","Some Lessons","Agree","Agree","Strongly disagree","Agree",620.1979,598.1526,618.6498
"380254","Female","None  ","Yes",NA,"Agree",NA,"Heard of it often","Every Lesson","Agree","Agree","Disagree","Agree",560.3754,665.5564,579.019
"380255","Male","None  ","Yes","Strongly disagree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,538.5652,549.0735,522.1373
"380256","Male","None  ","Yes","Agree","Disagree","Never or rarely",NA,"Most Lessons","Strongly agree","Agree","Disagree","Strongly agree",562.7123,539.4502,565.0317
"380257","Male","One or two times  ","Yes","Agree","Disagree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Agree",605.6317,636.1648,583.495
"380258","Male","One or two times  ","Yes",NA,"Disagree",NA,"Know it well,  understand the concept","Every Lesson","Strongly disagree","Agree","Strongly agree","Strongly agree",476.406,441.7733,488.4744
"380259","Female","None  ","Yes",NA,"Strongly disagree",NA,"Heard of it once or twice","Every Lesson","Agree","Agree","Disagree","Disagree",655.3279,689.624,695.1138
"380260","Female","Five or more times  ","Yes",NA,"Disagree",NA,"Heard of it once or twice","Every Lesson","Agree","Strongly disagree","Strongly disagree","Strongly agree",551.4177,633.9429,616.132
"380261","Male","One or two times  ","Yes","Agree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,544.7188,484.5972,557.3853
"380262","Female","One or two times  ","Yes","Agree","Agree","Never or rarely",NA,"Some Lessons","Agree","Agree","Strongly disagree","Strongly agree",543.1609,504.5497,491.4584
"380263","Male","None  ",NA,"Strongly agree","Strongly disagree","Never or rarely",NA,"Some Lessons","Agree","Strongly agree","Strongly disagree","Strongly disagree",709.7757,624.697,686.0686
"380264","Female","Five or more times  ","Yes","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,474.4586,567.5385,523.8157
"380265","Female","None  ","No","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,506.473,518.8473,506.0985
"380266","Male","One or two times  ","Yes","Agree","Disagree","Never or rarely",NA,"Some Lessons","Agree","Agree","Agree","Strongly agree",628.0651,591.8172,638.232
"380267","Female","Three or four times  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Some Lessons","Disagree","Strongly agree","Disagree","Strongly disagree",354.1128,404.3872,322.4916
"380268","Male","One or two times  ","Yes","Agree","Disagree","Never or rarely",NA,"Every Lesson","Agree",NA,NA,"Strongly agree",454.2842,503.6033,448.0977
"380269","Female","None  ","Yes","Strongly agree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,710.8662,711.7852,688.9593
"380270","Female","One or two times  ","No","Disagree",NA,"Sometimes","Heard of it often",NA,NA,NA,NA,NA,566.2175,605.3477,570.4401
"380271","Female","None  ","Yes","Agree","Agree","Sometimes",NA,"Most Lessons","Agree","Agree","Agree","Agree",455.5305,545.0595,504.6065
"380272","Female","One or two times  ","No","Agree","Agree","Never or rarely",NA,"Every Lesson","Agree","Agree","Strongly disagree","Strongly agree",636.5555,629.177,654.0843
"380273","Female","None  ","Yes",NA,"Agree",NA,"Never heard of it","Most Lessons","Agree","Strongly agree","Disagree","Strongly agree",581.1731,611.2256,576.9675
"380274","Male","None  ","Yes","Strongly agree","Strongly agree","Never or rarely",NA,"Most Lessons","Disagree","Strongly agree","Strongly disagree","Strongly agree",431.8508,477.7806,500.4103
"380275","Female","None  ","Yes","Agree",NA,"Sometimes","Heard of it once or twice",NA,NA,NA,NA,NA,436.836,464.0399,413.2227
"380276","Male","None  ","Yes","Agree",NA,"Sometimes","Heard of it once or twice",NA,NA,NA,NA,NA,410.7415,319.3965,420.3096
"380277","Male","None  ","Yes","Disagree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,596.1287,578.1841,584.7072
"380278","Female","One or two times  ","No","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,482.5596,557.2125,533.1406
"380279","Male","None  ","Yes",NA,"Agree",NA,"Never heard of it","Some Lessons","Agree","Agree","Disagree","Agree",465.1893,473.9313,454.8116
"380280","Female","None  ","Yes","Agree","Agree","Never or rarely",NA,"Some Lessons","Agree","Agree","Strongly disagree","Agree",487.7006,484.136,503.301
"380281","Female","None  ","Yes","Agree",NA,"Never or rarely","Heard of it often",NA,NA,NA,NA,NA,562.6344,647.5256,630.7721
"380282","Female","None  ","Yes","Strongly agree","Disagree","Never or rarely",NA,"Some Lessons","Agree","Disagree","Agree","Strongly agree",590.5982,615.6737,662.4767
"380283","Male","Five or more times  ","Yes","Agree","Strongly agree","Never or rarely",NA,"Some Lessons","Disagree","Agree","Strongly agree","Strongly agree",534.5926,529.5061,577.9
"380284","Female","None  ","Yes","Agree",NA,NA,"Heard of it a few times",NA,NA,NA,NA,NA,311.0375,372.6943,347.8553
"380285","Male","One or two times  ","Yes","Strongly agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,564.8933,558.1355,576.0351
"380286","Male","One or two times  ","Yes",NA,"Agree",NA,"Never heard of it","Some Lessons","Agree","Disagree","Strongly agree","Strongly disagree",386.6724,357.4087,385.994
"380287","Male","One or two times  ","Yes",NA,"Disagree",NA,"Know it well,  understand the concept","Most Lessons","Agree","Agree","Disagree","Agree",474.5365,436.9616,489.9664
"380288","Male","None  ","Yes","Disagree",NA,"Never or rarely","Heard of it a few times",NA,NA,NA,NA,NA,436.836,518.8402,535.3786
"380289","Female","None  ","Yes",NA,"Strongly agree",NA,"Heard of it often","Most Lessons","Agree","Strongly agree","Strongly disagree","Agree",499.2289,616.468,585.3599
"380290","Male","None  ","Yes","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,427.0992,429.2629,492.1112
"380291","Male","Three or four times  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,471.966,389.6469,542.4655
"380292","Male","One or two times  ","Yes",NA,"Agree",NA,NA,"Some Lessons","Disagree","Agree","Disagree","Agree",417.2067,420.1208,475.4196
"380293","Female","None  ","No","Agree","Disagree","Never or rarely",NA,"Some Lessons","Agree","Agree","Disagree","Agree",599.3223,544.1064,641.216
"380294","Male","None  ","Yes","Strongly agree","Strongly disagree","Sometimes",NA,"Every Lesson","Strongly agree","Agree","Strongly disagree","Strongly agree",434.8107,372.0041,434.0172
"380295","Female","One or two times  ","Yes","Strongly agree","Agree","Often",NA,"Some Lessons","Agree","Agree","Strongly disagree","Strongly agree",477.107,492.8734,441.7568
"380296","Female","None  ","No","Strongly agree",NA,"Sometimes","Never heard of it",NA,NA,NA,NA,NA,510.3677,574.449,571.3726
"380297","Female","One or two times  ","No","Agree",NA,"Sometimes","Heard of it a few times",NA,NA,NA,NA,NA,389.165,473.4922,436.2551
"380298","Male","None  ","Yes","Agree","Agree","Sometimes",NA,"Some Lessons","Disagree","Strongly agree","Strongly disagree","Strongly agree",406.0679,377.6979,431.2197
"380299","Male","One or two times  ","No","Strongly agree","Strongly agree","Often",NA,"Every Lesson","Disagree","Agree","Agree","Disagree",410.7415,376.094,412.1969
"380300","Female","None  ","Yes","Agree",NA,"Never or rarely","Know it well,  understand the concept",NA,NA,NA,NA,NA,521.1949,564.3613,552.7229
"380301","Male","One or two times  ","Yes",NA,"Disagree",NA,"Heard of it often","Never or Hardly Ever","Strongly agree","Strongly agree","Agree","Strongly agree",577.0447,562.9472,620.235
"380302","Male","None  ","Yes","Agree","Disagree","Never or rarely",NA,"Never or Hardly Ever","Strongly agree","Agree","Disagree","Agree",564.1143,485.8803,533.7934
"380303","Male","None  ","Yes",NA,"Strongly disagree",NA,"Never heard of it","Never or Hardly Ever","Strongly disagree","Disagree","Disagree","Agree",373.4304,358.2106,418.6311
"380304","Male","None  ","Yes",NA,"Disagree",NA,"Never heard of it","Some Lessons","Disagree","Strongly agree","Strongly agree","Strongly agree",474.4586,506.2497,531.2756
"380305","Male","None  ","Yes","Agree",NA,"Always or almost always","Heard of it once or twice",NA,NA,NA,NA,NA,364.0832,427.1779,427.956
"380306","Male","Three or four times  ","Yes","Agree","Agree","Never or rarely",NA,"Some Lessons","Strongly disagree","Agree","Disagree","Strongly agree",472.9008,456.5291,520.0858
"380307","Female","None  ","Yes",NA,NA,NA,"Heard of it often","Never or Hardly Ever","Strongly disagree","Agree","Agree","Agree",421.8804,421.0677,411.078
"380308","Female","One or two times  ","Yes","Agree",NA,"Never or rarely","Never heard of it",NA,NA,NA,NA,NA,495.6457,583.1864,572.5849
"380309","Female","One or two times  ","Yes",NA,"Agree",NA,"Heard of it once or twice","Most Lessons","Agree","Agree","Disagree","Agree",327.2394,327.6569,286.0313
"380310","Female","None  ","Yes","Strongly agree",NA,"Always or almost always","Heard of it a few times",NA,NA,NA,NA,NA,647.5386,605.4271,602.4245
"380311","Male","None  ","Yes","Agree","Agree","Sometimes",NA,"Most Lessons","Disagree","Strongly agree","Disagree","Strongly agree",413.9352,484.9981,441.6636
"380312","Male","One or two times  ","Yes","Agree","Agree","Never or rarely",NA,"Every Lesson","Agree","Agree","Strongly disagree","Agree",485.4417,443.4574,470.4774
